SampleID	celltype
A20_hEPSCs	hEPSCs
A22_hEPSCs	hEPSCs
A23_hEPSCs	hEPSCs
A14_hEPSCs	hEPSCs
A18_hEPSCs	hEPSCs
A19_hEPSCs	hEPSCs
A15_hEPSCs	hEPSCs
A13_hEPSCs	hEPSCs
A16_hEPSCs	hEPSCs
A17_hEPSCs	hEPSCs
A21_hEPSCs	hEPSCs
A24_hEPSCs	hEPSCs
B16_hEPSCs	hEPSCs
B13_hEPSCs	hEPSCs
B15_hEPSCs	hEPSCs
B17_hEPSCs	hEPSCs
B18_hEPSCs	hEPSCs
B19_hEPSCs	hEPSCs
B24_hEPSCs	hEPSCs
B21_hEPSCs	hEPSCs
B23_hEPSCs	hEPSCs
B14_hEPSCs	hEPSCs
B20_hEPSCs	hEPSCs
B22_hEPSCs	hEPSCs
C13_hEPSCs	hEPSCs
C15_hEPSCs	hEPSCs
C16_hEPSCs	hEPSCs
C17_hEPSCs	hEPSCs
C20_hEPSCs	hEPSCs
C22_hEPSCs	hEPSCs
C14_hEPSCs	hEPSCs
C23_hEPSCs	hEPSCs
C21_hEPSCs	hEPSCs
C19_hEPSCs	hEPSCs
D13_hEPSCs	hEPSCs
D15_hEPSCs	hEPSCs
D16_hEPSCs	hEPSCs
C24_hEPSCs	hEPSCs
C18_hEPSCs	hEPSCs
D18_hEPSCs	hEPSCs
D17_hEPSCs	hEPSCs
D14_hEPSCs	hEPSCs
D19_hEPSCs	hEPSCs
D20_hEPSCs	hEPSCs
D21_hEPSCs	hEPSCs
D22_hEPSCs	hEPSCs
D23_hEPSCs	hEPSCs
E14_hEPSCs	hEPSCs
E13_hEPSCs	hEPSCs
E17_hEPSCs	hEPSCs
E19_hEPSCs	hEPSCs
E18_hEPSCs	hEPSCs
D24_hEPSCs	hEPSCs
E20_hEPSCs	hEPSCs
E23_hEPSCs	hEPSCs
E22_hEPSCs	hEPSCs
E21_hEPSCs	hEPSCs
E24_hEPSCs	hEPSCs
E15_hEPSCs	hEPSCs
F14_hEPSCs	hEPSCs
F13_hEPSCs	hEPSCs
F15_hEPSCs	hEPSCs
F16_hEPSCs	hEPSCs
F18_hEPSCs	hEPSCs
F19_hEPSCs	hEPSCs
F20_hEPSCs	hEPSCs
F24_hEPSCs	hEPSCs
F23_hEPSCs	hEPSCs
F21_hEPSCs	hEPSCs
F17_hEPSCs	hEPSCs
F22_hEPSCs	hEPSCs
G13_hEPSCs	hEPSCs
G16_hEPSCs	hEPSCs
G15_hEPSCs	hEPSCs
G17_hEPSCs	hEPSCs
G19_hEPSCs	hEPSCs
G21_hEPSCs	hEPSCs
G20_hEPSCs	hEPSCs
G18_hEPSCs	hEPSCs
G14_hEPSCs	hEPSCs
G22_hEPSCs	hEPSCs
G24_hEPSCs	hEPSCs
G23_hEPSCs	hEPSCs
H13_hEPSCs	hEPSCs
H14_hEPSCs	hEPSCs
H16_hEPSCs	hEPSCs
H15_hEPSCs	hEPSCs
H20_hEPSCs	hEPSCs
H19_hEPSCs	hEPSCs
